timestamp,datetime,ax,ay,az,gx,gy,gz,label,frame_id
1770512523.4268925,09:02:03.426,-9.197,0.615,0.421,0.1462,0.3218,-0.1949,NONE,1
1770512523.4283378,09:02:03.428,-9.317,0.438,0.423,0.1292,0.3104,-0.1547,NONE,2
1770512523.4290738,09:02:03.429,-9.343,0.383,0.383,0.1074,0.2341,-0.0983,NONE,3
1770512523.4297106,09:02:03.429,-9.384,0.38,0.316,0.0919,0.1962,-0.0322,NONE,4
1770512523.4303668,09:02:03.430,-9.312,0.378,0.275,0.095,0.1451,0.0413,NONE,5
1770512523.431094,09:02:03.431,-9.243,0.39,0.225,0.0973,0.1247,0.0993,NONE,6
1770512523.4324422,09:02:03.432,-9.353,0.402,0.325,0.0842,0.1042,0.1207,NONE,7
1770512523.4330823,09:02:03.433,-9.434,0.469,0.29,0.0691,0.0978,0.1106,NONE,8
1770512523.4337404,09:02:03.433,-9.446,0.443,0.244,0.0606,0.1219,0.0945,NONE,9
1770512523.4345746,09:02:03.434,-9.448,0.483,0.244,0.055,0.1487,0.0524,NONE,10
1770512523.4354553,09:02:03.435,-9.518,0.507,0.175,0.0484,0.1705,0.0125,NONE,11
1770512523.4368618,09:02:03.436,-9.467,0.498,0.089,0.0522,0.1907,-0.0033,NONE,12
1770512523.438146,09:02:03.438,-9.477,0.407,0.048,0.0516,0.2092,-0.0258,NONE,13
1770512523.4407218,09:02:03.440,-9.7,0.534,0.06,0.0457,0.2224,-0.056,NONE,14
1770512523.4424143,09:02:03.442,-9.63,0.627,0.158,0.0285,0.2349,-0.0689,NONE,15
1770512523.443233,09:02:03.443,-9.92,0.517,0.077,-0.0111,0.2298,-0.0775,NONE,16
1770512523.4479835,09:02:03.447,-9.855,0.481,-0.175,-0.0111,0.232,-0.0675,NONE,17
1770512523.454879,09:02:03.454,-9.939,0.156,-0.282,-0.016,0.2345,-0.0596,NONE,18
1770512523.4619017,09:02:03.461,-9.939,0.036,-0.426,0.0076,0.2144,-0.0485,NONE,19
1770512523.4684474,09:02:03.468,-9.944,0.065,-0.502,0.0338,0.1819,0.0141,NONE,20
1770512523.4756823,09:02:03.475,-9.86,0.005,-0.364,0.0601,0.1556,0.0099,NONE,21
1770512523.4827137,09:02:03.482,-10.097,0.057,-0.412,0.0597,0.1412,0.0112,NONE,22
1770512523.4898293,09:02:03.489,-10.123,0.031,-0.49,0.0774,0.1299,0.0113,NONE,23
1770512523.4982898,09:02:03.498,-10.168,0.117,-0.414,0.0913,0.1112,-0.0148,NONE,24
1770512523.50587,09:02:03.505,-9.915,0.227,-0.364,0.1013,0.0979,-0.0428,NONE,25
1770512523.512605,09:02:03.512,-9.69,0.256,-0.407,0.0941,0.1107,-0.0682,NONE,26
1770512523.5195816,09:02:03.519,-9.594,0.297,-0.328,0.0935,0.1256,-0.0827,NONE,27
1770512523.526855,09:02:03.526,-9.496,0.378,-0.297,0.0909,0.1274,-0.0891,NONE,28
1770512523.533802,09:02:03.533,-9.35,0.44,-0.282,0.0878,0.1344,-0.0823,NONE,29
1770512523.540925,09:02:03.540,-9.173,0.502,-0.34,0.0902,0.1472,-0.0626,NONE,30
1770512523.547806,09:02:03.547,-9.068,0.517,-0.428,0.0907,0.1539,-0.0175,NONE,31
1770512523.5547981,09:02:03.554,-9.199,0.512,-0.423,0.1009,0.1479,0.037,NONE,32
1770512523.5616212,09:02:03.561,-9.381,0.44,-0.309,0.0991,0.1276,0.0913,NONE,33
1770512523.5686913,09:02:03.568,-9.642,0.402,-0.443,0.1033,0.1095,0.1025,NONE,34
1770512523.5755746,09:02:03.575,-9.637,0.438,-0.419,0.1106,0.1128,0.0929,NONE,35
1770512523.5829947,09:02:03.582,-9.707,0.546,-0.232,0.0997,0.1152,0.0561,NONE,36
1770512523.5896869,09:02:03.589,-9.728,0.613,-0.213,0.0886,0.1335,0.0216,NONE,37
1770512523.5965447,09:02:03.596,-9.802,0.529,-0.311,0.0831,0.1518,0.0025,NONE,38
1770512523.6037452,09:02:03.603,-9.587,0.581,-0.256,0.0662,0.1525,-0.0374,NONE,39
1770512523.6107256,09:02:03.610,-9.489,0.56,-0.383,0.0687,0.1663,-0.0433,NONE,40
1770512523.618212,09:02:03.618,-9.446,0.653,-0.16,0.0438,0.1657,-0.059,NONE,41
1770512523.625921,09:02:03.625,-9.372,0.593,-0.273,0.0248,0.1498,-0.0657,NONE,42
1770512523.6326835,09:02:03.632,-9.381,0.519,-0.313,0.018,0.1382,-0.0354,NONE,43
1770512523.6397583,09:02:03.639,-9.288,0.586,-0.345,0.0151,0.1107,-0.0063,NONE,44
1770512523.6468272,09:02:03.646,-9.429,0.569,-0.361,0.002,0.0885,0.0163,NONE,45
1770512523.6536121,09:02:03.653,-9.47,0.479,-0.555,0.0039,0.0911,0.0207,NONE,46
1770512523.6605682,09:02:03.660,-9.534,0.438,-0.462,0.0049,0.1013,0.0047,NONE,47
1770512523.6677232,09:02:03.667,-9.568,0.383,-0.49,0.0141,0.1031,-0.0156,NONE,48
1770512523.6746516,09:02:03.674,-9.585,0.423,-0.285,0.008,0.0885,-0.0272,NONE,49
1770512523.682666,09:02:03.682,-9.563,0.412,-0.038,-0.0099,0.0677,-0.0358,NONE,50
1770512523.6898324,09:02:03.689,-9.542,0.433,-0.211,-0.03,0.0417,-0.0429,NONE,51
1770512523.696846,09:02:03.696,-9.522,0.404,-0.268,-0.0382,0.0241,-0.053,NONE,52
1770512523.7037334,09:02:03.703,-9.245,0.366,-0.529,-0.0364,0.0474,-0.0679,NONE,53
1770512523.7107875,09:02:03.710,-9.099,0.27,-0.651,-0.0401,0.0714,-0.0754,NONE,54
1770512523.717675,09:02:03.717,-9.156,0.177,-0.615,-0.0296,0.0915,-0.0809,NONE,55
1770512523.724755,09:02:03.724,-9.226,0.189,-0.816,-0.0025,0.0853,-0.0565,NONE,56
1770512523.7316387,09:02:03.731,-9.417,0.01,-0.842,0.027,0.0858,-0.032,NONE,57
1770512523.7387054,09:02:03.738,-9.522,0.132,-0.644,0.0461,0.0634,-0.031,NONE,58
1770512523.7457888,09:02:03.745,-9.637,0.316,-0.409,0.0358,0.0528,-0.0461,NONE,59
1770512523.7527645,09:02:03.752,-9.582,0.273,-0.34,0.0195,0.056,-0.0521,NONE,60
1770512523.7596862,09:02:03.759,-9.331,0.309,-0.479,0.0173,0.0726,-0.0489,NONE,61
1770512523.7667637,09:02:03.766,-9.302,0.354,-0.471,-0.0017,0.0819,-0.0392,NONE,62
1770512523.7740083,09:02:03.774,-9.522,0.211,-0.402,-0.0096,0.0405,-0.0128,NONE,63
1770512523.7807887,09:02:03.780,-9.604,0.208,-0.431,-0.0133,0.0055,-0.0016,NONE,64
1770512523.787886,09:02:03.787,-9.345,0.268,-0.5,-0.0163,0.0107,-0.0084,NONE,65
1770512523.7947655,09:02:03.794,-8.915,0.227,-0.613,-0.018,0.0496,0.0157,NONE,66
1770512523.8016274,09:02:03.801,-8.967,0.258,-0.73,-0.0173,0.081,0.0338,NONE,67
1770512523.8086863,09:02:03.808,-9.305,0.179,-0.641,-0.0037,0.1034,0.0344,NONE,68
1770512523.8158908,09:02:03.815,-9.726,0.124,-0.553,0.0011,0.0841,0.0067,NONE,69
1770512523.8229802,09:02:03.822,-9.778,0.244,-0.467,0.0132,0.0893,-0.0212,NONE,70
1770512523.8296995,09:02:03.829,-9.733,0.285,-0.433,0.012,0.0843,-0.0373,NONE,71
1770512523.8367355,09:02:03.836,-9.613,0.28,-0.495,0.0111,0.0983,-0.0742,NONE,72
1770512523.8436534,09:02:03.843,-9.298,0.227,-0.689,0.0389,0.1294,-0.0733,NONE,73
1770512523.8506641,09:02:03.850,-9.326,0.151,-0.687,0.061,0.133,-0.0658,NONE,74
1770512523.857688,09:02:03.857,-9.288,0.282,-0.502,0.0721,0.1322,-0.0593,NONE,75
1770512523.8646235,09:02:03.864,-9.336,0.49,-0.232,0.0726,0.1563,-0.0648,NONE,76
1770512523.871758,09:02:03.871,-9.568,0.467,-0.16,0.0593,0.1628,-0.0767,NONE,77
1770512523.8786492,09:02:03.878,-9.566,0.498,-0.156,0.0506,0.1483,-0.0998,NONE,78
1770512523.886789,09:02:03.886,-9.295,0.598,-0.191,0.0341,0.1673,-0.1203,NONE,79
1770512523.8937142,09:02:03.893,-9.321,0.49,-0.292,0.0151,0.1865,-0.129,NONE,80
1770512523.900625,09:02:03.900,-9.441,0.368,-0.311,0.0015,0.1788,-0.1199,NONE,81
1770512523.9077604,09:02:03.907,-9.374,0.297,-0.44,-0.0032,0.1672,-0.0846,NONE,82
1770512523.9146876,09:02:03.914,-9.262,0.275,-0.543,-0.0068,0.134,-0.0554,NONE,83
1770512523.9217775,09:02:03.921,-9.099,0.194,-0.813,0.0044,0.1327,-0.0144,NONE,84
1770512523.9285154,09:02:03.928,-9.178,0.11,-0.768,0.0265,0.1139,0.0314,NONE,85
1770512523.9355767,09:02:03.935,-9.058,0.316,-0.658,0.0422,0.1202,0.0695,NONE,86
1770512523.9424489,09:02:03.942,-9.192,0.49,-0.301,0.0289,0.1303,0.0803,NONE,87
1770512523.9503858,09:02:03.950,-9.561,0.565,-0.184,-0.0007,0.1175,0.0841,NONE,88
1770512523.9577765,09:02:03.957,-9.7,0.562,-0.124,-0.0289,0.1119,0.05,NONE,89
1770512523.9645998,09:02:03.964,-9.69,0.356,-0.227,-0.047,0.113,0.0011,NONE,90
1770512523.9718673,09:02:03.971,-9.592,0.349,-0.574,-0.0671,0.1208,-0.0017,NONE,91
1770512523.9787388,09:02:03.978,-9.467,0.285,-0.711,-0.0683,0.1379,-0.0119,NONE,92
1770512523.9858043,09:02:03.985,-9.534,0.266,-0.751,-0.071,0.1411,-0.0151,NONE,93
1770512523.9928048,09:02:03.992,-9.743,0.177,-0.766,-0.0585,0.1464,-0.0025,NONE,94
1770512523.9997194,09:02:03.999,-9.884,0.11,-0.912,-0.0544,0.1311,-0.0081,NONE,95
1770512524.006643,09:02:04.006,-9.946,0.055,-0.895,-0.0398,0.1114,-0.0112,NONE,96
1770512524.0138783,09:02:04.013,-10.023,0.079,-0.883,-0.0264,0.1045,-0.0438,NONE,97
1770512524.0209594,09:02:04.020,-9.936,0.144,-0.957,-0.0117,0.1038,-0.0496,NONE,98
1770512524.0278463,09:02:04.027,-9.726,0.184,-0.981,-0.0008,0.1079,-0.0574,NONE,99
1770512524.0346394,09:02:04.034,-9.697,0.165,-0.854,0.0179,0.1155,-0.0433,NONE,100
1770512524.0416868,09:02:04.041,-9.656,0.242,-0.701,0.0301,0.0967,-0.0321,NONE,101
1770512524.048506,09:02:04.048,-9.532,0.292,-0.541,0.0256,0.0878,-0.0141,NONE,102
1770512524.0556955,09:02:04.055,-9.537,0.376,-0.421,0.0105,0.085,-0.0104,NONE,103
1770512524.0626752,09:02:04.062,-9.52,0.373,-0.395,-0.0091,0.0918,-0.0092,NONE,104
1770512524.0696883,09:02:04.069,-9.58,0.306,-0.354,-0.0237,0.0762,-0.0084,NONE,105
1770512524.0767748,09:02:04.076,-9.503,0.292,-0.433,-0.0486,0.0609,-0.034,NONE,106
